Word, Consonants
azotic,NOT_IN_CMU_DICT
azov,NOT_IN_CMU_DICT
aztec,
azure,
baa,
babe,
babushka,
baby,
baby-talk,NOT_IN_CMU_DICT
babysitting,WATER TALKING
bachelor,LOOK
back,
back-formation,NOT_IN_CMU_DICT
backbone,
backdoor,
background,RUN
backhouse,NOT_IN_CMU_DICT
backlash,LOOK
backlog,LOOK
backlog,LOOK
backspace,NOT_IN_CMU_DICT
backstreet,GET
backup,
backward,
backwards,
bacon,
bacteria,
bacterial,RAIL
bacterium,
bad,
badass,
badawi,NOT_IN_CMU_DICT
baden-powell,NOT_IN_CMU_DICT
badge,
badinage,NOT_IN_CMU_DICT
badly,LOOK
badmouth,NOT_IN_CMU_DICT
baffle,RAIL
baffled,RAIL
baffles,RAIL
baffling,LOOK TALKING
bag,
baggage,
baggie,
baghdad,
bah,
bahamas,HOUSE
bahasa,NOT_IN_CMU_DICT
bahia,HOUSE
bahrain,
baht,GET
bail,RAIL
bailey,LOOK
baird,
bairns,NOT_IN_CMU_DICT
bait,GET
baja,HOUSE
bajan,NOT_IN_CMU_DICT
bake,
baked,GET
baker,
bakery,
bakes,
baking,TALKING
balaclava,LOOK
balance,LOOK
balance-sheet,NOT_IN_CMU_DICT
balanced,LOOK GET
bald,RAIL
baldwin,RAIL
bale,RAIL
balenciaga,NOT_IN_CMU_DICT
balfor,NOT_IN_CMU_DICT
bali,LOOK
balk,RAIL
ball,RAIL
ballerina,LOOK
ballet,LOOK
balloon,LOOK
ballot,LOOK GET
ballpoint,RAIL GET
ballroom,RAIL RUN
balmoral,RAIL
baltimore,RAIL
bamforth,NOT_IN_CMU_DICT
ban,
banal,RAIL
banana,
band,
bandolier,LOOK
bandung,NOT_IN_CMU_DICT
bandwagon,
bandwidth,THINK
bang,TALKING
bangbus,NOT_IN_CMU_DICT
banger,TALKING
bangkok,
bangladesh,TALKING LOOK
bangladeshi,TALKING LOOK
bank,
bank-draft,NOT_IN_CMU_DICT
bankrupt,RUN GET
bankruptcy,RUN
banner,
banshee,
baobab,NOT_IN_CMU_DICT
baptist,GET
bar,
barack,
barbadian,NOT_IN_CMU_DICT
barbados,
barbara,RUN
barbarian,
barbarity,WATER
barbecue,
barbecued,
barber,
barbershop,
barbican,NOT_IN_CMU_DICT
barbie,
barbiturates,
barbour,
barbuda,
barcelona,LOOK
barcode,NOT_IN_CMU_DICT
bardot,NOT_IN_CMU_DICT
bare,
barefaced,NOT_IN_CMU_DICT
barefacedly,NOT_IN_CMU_DICT
barefoot,GET
barelegged,NOT_IN_CMU_DICT
barely,LOOK
barenboim,
bareness,NOT_IN_CMU_DICT
bares,
barf,
barfly,NOT_IN_CMU_DICT
barford,NOT_IN_CMU_DICT
bargain,
barge,
bargoed,NOT_IN_CMU_DICT
baring,TALKING
bark,
barked,GET
barking,TALKING
barkley,LOOK
barks,
barley,LOOK
barlow,LOOK
barn,
barnard,
barnes,
barnett,GET
barney,
baron,
baroque,
barr,
barrage,
barrel,RAIL
barrier,
barrister,
barrister,
barristers,
barristers,
barrow-man,NOT_IN_CMU_DICT
barry,
barrymore,
barsham,NOT_IN_CMU_DICT
bartholomew,THINK LOOK
barwise,NOT_IN_CMU_DICT
base,
baseball,RAIL
based,GET
basel,RAIL
baseline,LOOK
basement,GET
basename,NOT_IN_CMU_DICT
bash,
bashes,
basic,
basically,LOOK
basil,RAIL
basin,
basinger,TALKING
basingstoke,NOT_IN_CMU_DICT
basis,
basket,GET
basketball,RAIL
basking,TALKING
bass,
basses,
basses,
basso,
basta,
bastard,
bastards,
bat,GET
batch,
bath,THINK
bath-chair,NOT_IN_CMU_DICT
bather,THIS
bathgate,THINK GET
bathhouse,NOT_IN_CMU_DICT
bathing,THIS TALKING
bathing-costume,NOT_IN_CMU_DICT
bathing-suit,NOT_IN_CMU_DICT
batho,NOT_IN_CMU_DICT
bathrobe,THINK RUN
bathroom,THINK RUN
baths,THINK
bathtub,THINK
bathurst,THINK GET
bathyscaphe,NOT_IN_CMU_DICT
bathyspheres,NOT_IN_CMU_DICT
batman,
battersea,WATER
battery,WATER
battle,WATER RAIL
battlefield,WATER RAIL
bauble,RAIL
baud,
bavaria,
bay,
bay-wreath,NOT_IN_CMU_DICT
bayberry,NOT_IN_CMU_DICT
bayswater,NOT_IN_CMU_DICT
baywatch,
